年度,縣市別,序號,醫療院所名稱,醫療院所十碼代碼,郵遞區號,地    址
2014,臺北市,1,北電診所,350102A607,106,臺北市大安區和平東路一段76號1樓
2014,臺北市,2,哲民診所,3501107047,104,臺北巿中山區龍江路356巷24號
2014,臺北市,3,夏爾耳鼻喉科診所,350102A107,106,臺北市大安區信義路四段265巷54號
2014,臺北市,4,陳育鵬診所,3501173390,110,臺北市信義區松山路568號
2014,臺北市,5,禾馨新生婦幼診所,350102B364,106,臺北市大安區新生南路３段２號
2014,臺北市,6,長安內外科,3501106988,104,臺北市中山區八德路２段２５９號 
2014,臺北市,7,柏泉內科小兒科診所,3501100995,104,臺北市中山區北安路５９５巷２０弄５號 
2014,臺北市,8,臺北市立聯合醫院和平婦幼院區,101090517,108,臺北市萬華區中華路2段33號
2014,臺北市,9,夏爾診所,350102A107,106,臺北市大安區信義路四段265巷54號
2014,臺北市,10,晴光診所,3501107369,104,臺北市中山區林森北路556號
2014,臺北市,11,長庚醫療財團法人台北長庚紀念醫院,1101010012,105,臺北市松山區中華里004鄰敦化北路199號
2014,臺北市,12,杏安診所,3501121921,115,臺北市南港區同德路76號
2014,臺北市,13,朝暘診所,3501174342,110,臺北市信義區松山路506號
2014,臺北市,14,弘光耳鼻喉科診所,3501014225,105,臺北市松山區精忠里006鄰民生東路四段117號
2014,臺北市,15,康樂診所,3501113410,114,臺北市內湖區康樂街82號
2014,臺北市,16,臺北市立聯合醫院中興院區,101090517,103,臺北市大同區鄭州路145號
2014,臺北市,17,松德診所,3501029931,110,臺北市大安區四維路170巷16號
2014,臺北市,18,何小兒科診所,3501151938,111,臺北市士林區福港街１７６號
2014,臺北市,19,李世澤小兒科診所,3501150208,111,臺北市士林區社子街６７號 
2014,臺北市,20,杏暉診所,3501153496,111,臺北市士林區社子街１５號 
2014,臺北市,21,林博通醫師診所,3501151018,111,臺北市士林區通河街６０號１樓
2014,臺北市,22,家庭醫師張正弘診所,3501151661,111,臺北市士林區天玉街３８巷９號 
2014,臺北市,23,陳彥銘耳鼻喉科診所,3501152006,111,臺北市士林區士東路１２號－１，１樓
2014,臺北市,24,龍安莊耳鼻喉科診所,3501153843,111,臺北市士林區延平北路５段１８６號
2014,臺北市,25,黃蓉聯合診所,3501151474,111,臺北市士林區社子街２６號 
2014,臺北市,26,黃耀明診所,3501150306,111,臺北市士林區中正路３２２號１樓 
2014,臺北市,27,臺北市立聯合醫院附設士林門診部,2101150012,111,臺北市士林區中正路４３９號１樓
2014,臺北市,28,德泰耳鼻喉科診所,3501151054,111,臺北市士林區通河街４２－１號
2014,臺北市,29,鄭醫師診所,3501150575,111,臺北市士林區延平北路５段１２０號１、２樓
2014,臺北市,30,臺北市立聯合醫院附設政大門診,2101200017,116,臺北市文山區指南路２段１１７號
2014,臺北市,31,萬芳醫院,1301200010,116,臺北市文山區興隆路３段１１１號
2014,臺北市,32,葉洪小兒科診所,3501200963,116,臺北市文山區興隆路３段２０２號１樓
2014,臺北市,33,黃偉志小兒科診所,3501202636,116,臺北市文山區萬慶街１２號１樓
2014,臺北市,34,景美醫院,1501201020,116,臺北市文山區羅斯福路６段２８０號
2014,臺北市,35,興隆內科兒科診所,3501200534,116,臺北市文山區興隆路２段１７號
2014,臺北市,36,定安診所,3501202798,116,臺北市文山區景文街２９號
2014,臺北市,37,屈銘軒小兒科診所,3501202458,116,臺北市文山區興隆路２段３０１巷４－２號
2014,臺北市,38,鍾內兒科診所,3501200285,116,臺北市文山區木柵路３段１１９號
2014,臺北市,39,萬慶診所,3501202878,116,臺北市文山區萬慶街8號
2014,臺北市,40,秀傳醫院,1501021193,106,臺北市大安區光復南路116巷1、3、5號
2014,臺北市,41,行政院國軍退除役官兵輔導委員會臺北榮民總醫院,601160016,112,臺北市北投區石牌路2段201號
2014,臺北市,42,振興醫療財團法人振興醫院,1101160017,112,臺北市北投區振興路45號
2014,臺北市,43,臺北市立關渡醫院-委託行政院國軍退除役官兵輔導委員會臺北榮民總醫院經營,701160518,112,臺北市北投區知行路225巷12號
2014,臺北市,44,臺北市立聯合醫院附設北投門診部,2101161033,112,臺北市北投區新市街30號5樓
2014,臺北市,45,陳獻明小兒科診所,3501161032,112,臺北市北投區中央南路1段69號
2014,臺北市,46,美康診所,3501162566,112,臺北市北投區光明路2巷9-2號
2014,臺北市,47,慈恩耳鼻喉科診所,3501161505,112,臺北市北投區中央南路1段13號
2014,臺北市,48,昱德聯合診所,3501161363,112,臺北市北投區光明路102號
2014,臺北市,49,蔡秉勳小兒科診所,3501160973,112,臺北市北投區中和街281號
2014,臺北市,50,清田婦產科家醫科診所,3501160982,112,臺北市北投區中和街268號
2014,臺北市,51,李伯匯小兒科診所,3501161185,112,臺北市北投區石牌路1段93號
2014,臺北市,52,泓光診所,3501160955,112,臺北市北投區立農街2段287號
2014,臺北市,53,何叔芳小兒科診所,3501162940,112,臺北市北投區裕民四路4號1樓
2014,臺北市,54,黃正宏診所,3501163036,112,臺北市北投區西安街1段359號
2014,臺北市,55,洪耳鼻喉科診所,3501160231,112,臺北市北投區中央南路1段43號
2014,臺北市,56,吉安診所,3501160204,112,臺北市北投區西安街1段281巷18號
2014,臺北市,57,祐民聯合診所,3501161238,112,臺北市北投區中央南路1段207號
2014,臺北市,58,國軍北投醫院附設民眾診療服務處,501160014,112,臺北市北投區中和街250號
2014,臺北市,59,文遠診所,3501161318,112,臺北市北投區石牌路2段346號
2014,臺北市,60,永安家庭醫學科診所,3501160286,112,臺北市北投區公館路47號
2014,臺北市,61,張晉豪診所,3501162682,112,臺北市北投區中央南路1段155號
2014,臺北市,62,陳珀勳診所,3501162879,112,臺北市北投區明德路85號
2014,臺北市,63,長宏診所,3501160866,112,臺北市北投區中央北路2段121號
2014,臺北市,64,宏恩兒科診所,3501163072,112,臺北市北投區致遠一路2段99號
2014,臺北市,65,陳信方小兒科診所,3501163241,112,臺北市北投區明德路１０６號 
2014,臺北市,66,陳柏宏親子診所,3501163232,112,臺北市北投區明德路１２４號 
2014,臺北市,67,黃浩魁小兒科診所,3501163170,112,臺北市北投區中央北路１段１６８號
2014,臺北市,68,陳志鑫診所,3501120335,115,臺北市南港區八德路4段812號
2014,臺北市,69,臺北市立聯合醫院附設南軟門診部,2101121020,115,臺北市南港區園區街3-2號2樓
2014,臺北市,70,臺北市立聯合醫院附設南港門診部,2101120014,115,臺北市南港區南港路1段360號1樓
2014,臺北市,71,義仁兒科診所,3501121725,115,臺北市南港區玉成街138號1樓
2014,臺北市,72,義仁家庭醫學診所,3501121734,115,臺北市南港區玉成街138號1樓
2014,臺北市,73,陳勝吉診所,3501121592,115,臺北市南港區研究院路1段115號
2014,臺北市,74,天仁健康診所,3501121823,115,臺北市南港區成福路21號
2014,臺北市,75,天仁小兒科診所,3501121627,115,臺北市南港區成福路21號
2014,臺北市,76,蔣小兒科診所,3501120228,115,臺北市南港區玉成街166巷30號1樓
2014,臺北市,77,永育診所,3501121743,115,臺北市南港區福德街313號1樓
2014,臺北市,78,維康診所,3501121832,115,臺北市南港區研究院路2段84巷1號1樓
2014,臺北市,79,李文珍小兒科診所,3501121814,115,臺北市南港區研究院路2段74號1樓
2014,臺北市,80,資生堂醫院,1501120020,115,臺北市南港區新民街64號
2014,臺北市,81,興隆李內兒科診所,3501200338,116,臺北市文山區興隆路一段12號
2014,臺北市,82,林建輝小兒科診所,3501200794,116,臺北市文山區興隆路二段70號
2014,臺北市,83,泓仁診所,3501200570,116,臺北市文山區木新路二段273號
2014,臺北市,84,洪佑承小兒專科診所,3501201004,116,臺北市文山區興隆路四段64之2號1樓
2014,臺北市,85,德安小兒科診所,3501201095,116,臺北市文山區興隆路四段6-10號1樓
2014,臺北市,86,官世英診所,3501201219,116,臺北市文山區景興路45號
2014,臺北市,87,徐慧玲診所,3501202510,116,臺北市文山區興隆路四段99號1樓
2014,臺北市,88,瑞萱診所,3501202467,116,臺北市文山區景華街124號
2014,臺北市,89,林正豐診所,3501202823,116,臺北市文山區保儀路25號
2014,臺北市,90,震杰小兒科診所,3501202592,116,臺北市文山區景興路129號1樓
2014,臺北市,91,景安診所,3501202725,116,臺北市文山區羅斯福路六段136號2樓
2014,臺北市,92,欣民診所,3501201139,116,臺北市文山區保儀路37號
2014,臺北市,93,東翰診所,3501202967,116,臺北市文山區興隆路二段139號
2014,臺北市,94,仁耀診所,3501200249,116,臺北市文山區興隆路一段273號
